UTC,Callsign,Latitude,Longitude,Altitude,Speed,Direction,Label
2025-01-18T15:27:45Z,TIFON5,7.934166,-72.509506,0,0,14,1
2025-01-18T15:27:54Z,TIFON5,7.933926,-72.50959,0,22,196,1
2025-01-18T15:27:56Z,TIFON5,7.933572,-72.509682,0,33,196,1
2025-01-18T15:27:58Z,TIFON5,7.933159,-72.509827,0,44,196,1
2025-01-18T15:27:59Z,TIFON5,7.932885,-72.509911,0,54,196,1
2025-01-18T15:28:00Z,TIFON5,7.93261,-72.510002,0,59,196,1
2025-01-18T15:28:01Z,TIFON5,7.932292,-72.510094,0,64,196,1
2025-01-18T15:28:02Z,TIFON5,7.931989,-72.510193,0,69,196,1
2025-01-18T15:28:03Z,TIFON5,7.931652,-72.510284,0,74,196,1
2025-01-18T15:28:04Z,TIFON5,7.931244,-72.510414,0,78,196,1
2025-01-18T15:28:05Z,TIFON5,7.930872,-72.510536,0,82,196,1
2025-01-18T15:28:06Z,TIFON5,7.930435,-72.510658,0,86,196,1
2025-01-18T15:28:08Z,TIFON5,7.929813,-72.510857,0,94,196,1
2025-01-18T15:28:09Z,TIFON5,7.929208,-72.511047,0,98,196,1
2025-01-18T15:28:16Z,TIFON5,7.925446,-72.51223,925,125,197,1
2025-01-18T15:28:23Z,TIFON5,7.921748,-72.513321,975,138,196,1
2025-01-18T15:28:32Z,TIFON5,7.915929,-72.515259,1100,150,199,1
2025-01-18T15:28:39Z,TIFON5,7.911438,-72.516838,1275,156,199,1
2025-01-18T15:28:45Z,TIFON5,7.906805,-72.51857,1450,158,200,1
2025-01-18T15:28:48Z,TIFON5,7.90535,-72.519119,1525,158,201,1
2025-01-18T15:28:50Z,TIFON5,7.90361,-72.519867,1625,157,203,1
2025-01-18T15:28:52Z,TIFON5,7.902237,-72.52047,1700,159,203,1
2025-01-18T15:28:54Z,TIFON5,7.900864,-72.52108,1725,161,203,1
2025-01-18T15:28:56Z,TIFON5,7.899033,-72.521866,1800,163,203,1
2025-01-18T15:29:03Z,TIFON5,7.894422,-72.523689,1900,172,201,1
2025-01-18T15:29:08Z,TIFON5,7.891342,-72.524986,2000,177,205,1
2025-01-18T15:29:10Z,TIFON5,7.889208,-72.526154,2075,180,209,1
2025-01-18T15:29:12Z,TIFON5,7.887252,-72.527573,2125,185,218,1
2025-01-18T15:29:15Z,TIFON5,7.885623,-72.529182,2200,190,223,1
2025-01-18T15:29:17Z,TIFON5,7.884459,-72.530602,2225,194,231,1
2025-01-18T15:29:19Z,TIFON5,7.883377,-72.532158,2250,195,234,1
2025-01-18T15:29:22Z,TIFON5,7.88237,-72.534157,2325,199,244,1
2025-01-18T15:29:24Z,TIFON5,7.88162,-72.53614,2400,199,248,1
2025-01-18T15:29:26Z,TIFON5,7.880968,-72.538513,2500,200,255,1
2025-01-18T15:29:28Z,TIFON5,7.880596,-72.540359,2600,201,258,1
2025-01-18T15:29:31Z,TIFON5,7.88027,-72.542206,2650,201,261,1
2025-01-18T15:29:33Z,TIFON5,7.880084,-72.544807,2750,201,266,1
2025-01-18T15:29:37Z,TIFON5,7.880084,-72.548027,2850,203,271,1
2025-01-18T15:29:39Z,TIFON5,7.88031,-72.550034,2925,204,276,1
2025-01-18T15:29:41Z,TIFON5,7.880814,-72.552078,2975,205,282,1
2025-01-18T15:29:43Z,TIFON5,7.881454,-72.554085,3050,206,287,1
2025-01-18T15:29:46Z,TIFON5,7.882225,-72.555794,3100,210,294,1
2025-01-18T15:29:48Z,TIFON5,7.88311,-72.557549,3125,212,297,1
2025-01-18T15:29:50Z,TIFON5,7.884155,-72.559387,3175,215,301,1
2025-01-18T15:29:52Z,TIFON5,7.885251,-72.560959,3200,217,309,1
2025-01-18T15:29:54Z,TIFON5,7.886627,-72.562599,3250,218,313,1
2025-01-18T15:29:56Z,TIFON5,7.889099,-72.565025,3300,220,317,1
2025-01-18T15:29:59Z,TIFON5,7.890837,-72.566307,3350,222,322,1
2025-01-18T15:30:01Z,TIFON5,7.892792,-72.567535,3400,222,327,1
2025-01-18T15:30:03Z,TIFON5,7.894684,-72.568558,3450,222,332,1
2025-01-18T15:30:05Z,TIFON5,7.89679,-72.569443,3500,222,336,1
2025-01-18T15:30:07Z,TIFON5,7.898346,-72.569954,3525,222,341,1
2025-01-18T15:30:09Z,TIFON5,7.900955,-72.570564,3600,221,345,1
2025-01-18T15:30:11Z,TIFON5,7.903198,-72.570892,3675,220,352,1
2025-01-18T15:30:14Z,TIFON5,7.905128,-72.570999,3725,220,356,1
2025-01-18T15:30:16Z,TIFON5,7.907177,-72.570999,3775,219,358,1
2025-01-18T15:30:18Z,TIFON5,7.909103,-72.570839,3850,217,6,1
2025-01-18T15:30:20Z,TIFON5,7.912079,-72.570427,3950,216,9,1
2025-01-18T15:30:23Z,TIFON5,7.914346,-72.57,4050,216,11,1
2025-01-18T15:30:25Z,TIFON5,7.916115,-72.569572,4100,215,12,1
2025-01-18T15:30:27Z,TIFON5,7.91835,-72.569023,4175,214,14,1
2025-01-18T15:30:29Z,TIFON5,7.921005,-72.568237,4250,214,15,1
2025-01-18T15:30:32Z,TIFON5,7.922745,-72.567627,4300,214,19,1
2025-01-18T15:30:35Z,TIFON5,7.925798,-72.566498,4400,214,20,1
2025-01-18T15:30:37Z,TIFON5,7.928101,-72.565582,4475,213,21,1
2025-01-18T15:30:39Z,TIFON5,7.929848,-72.564842,4550,212,22,1
2025-01-18T15:30:42Z,TIFON5,7.932678,-72.563629,4625,212,23,1
2025-01-18T15:30:44Z,TIFON5,7.93455,-72.562759,4700,212,24,1
2025-01-18T15:30:47Z,TIFON5,7.936691,-72.56176,4775,211,24,1
2025-01-18T15:30:49Z,TIFON5,7.938087,-72.561096,4825,211,25,1
2025-01-18T15:30:52Z,TIFON5,7.940826,-72.559715,4900,210,26,1
2025-01-18T15:30:54Z,TIFON5,7.942932,-72.558693,4975,211,26,1
2025-01-18T15:30:56Z,TIFON5,7.944672,-72.557808,5025,211,26,1
2025-01-18T15:30:58Z,TIFON5,7.946886,-72.556648,5075,211,27,1
2025-01-18T15:31:11Z,TIFON5,7.9575,-72.550774,5400,215,30,1
2025-01-18T15:31:26Z,TIFON5,7.970947,-72.542587,5825,220,30,1
2025-01-18T15:31:39Z,TIFON5,7.982529,-72.535973,6200,221,29,1
2025-01-18T15:31:53Z,TIFON5,7.994509,-72.529274,6550,222,28,1
2025-01-18T15:32:05Z,TIFON5,8.006193,-72.522743,6875,225,29,1
2025-01-18T15:32:18Z,TIFON5,8.018436,-72.517014,7200,231,17,1
2025-01-18T15:32:20Z,TIFON5,8.021027,-72.516327,7275,231,15,1
2025-01-18T15:32:22Z,TIFON5,8.023232,-72.515823,7350,231,11,1
2025-01-18T15:32:25Z,TIFON5,8.025792,-72.51545,7425,231,9,1
2025-01-18T15:32:27Z,TIFON5,8.027933,-72.515167,7525,231,7,1
2025-01-18T15:32:29Z,TIFON5,8.030594,-72.514931,7600,232,5,1
2025-01-18T15:32:32Z,TIFON5,8.032745,-72.514793,7675,231,3,1
2025-01-18T15:32:34Z,TIFON5,8.035242,-72.514694,7750,231,2,1
2025-01-18T15:32:36Z,TIFON5,8.037617,-72.514641,7825,232,1,1
2025-01-18T15:32:38Z,TIFON5,8.039886,-72.514656,7875,232,1,1
2025-01-18T15:32:40Z,TIFON5,8.042131,-72.514641,7950,232,359,1
