UTC,Callsign,Latitude,Longitude,Altitude,Speed,Direction,Label
2025-01-18 15:27:45+00:00,TIFON5,7.934166,-72.509506,0,0,14,1
2025-01-18 15:27:54+00:00,TIFON5,7.779814865098104,-72.15028504550071,0,22,196,0
2025-01-18 15:27:56+00:00,TIFON5,7.933572,-72.509682,0,33,196,1
2025-01-18 15:27:58+00:00,TIFON5,7.933159,-72.509827,0,44,196,1
2025-01-18 15:27:59+00:00,TIFON5,7.932885,-72.509911,0,54,196,1
2025-01-18 15:28:00+00:00,TIFON5,7.93261,-72.510002,0,59,196,1
2025-01-18 15:28:01+00:00,TIFON5,7.932292,-72.510094,0,64,196,1
2025-01-18 15:28:02+00:00,TIFON5,7.931989,-72.510193,0,69,196,1
2025-01-18 15:28:03+00:00,TIFON5,7.931652,-72.510284,0,74,196,1
2025-01-18 15:28:04+00:00,TIFON5,7.931244,-72.510414,0,78,196,1
2025-01-18 15:28:05+00:00,TIFON5,7.930872,-72.510536,0,82,196,1
2025-01-18 15:28:06+00:00,TIFON5,7.930435,-72.510658,0,86,196,1
2025-01-18 15:28:08+00:00,TIFON5,7.929813,-72.510857,0,94,196,1
2025-01-18 15:28:09+00:00,TIFON5,7.929208,-72.511047,0,98,196,1
2025-01-18 15:28:16+00:00,TIFON5,7.925446,-72.51223,925,125,197,1
2025-01-18 15:28:23+00:00,TIFON5,8.117335596676218,-72.65736198877993,975,138,196,0
2025-01-18 15:28:32+00:00,TIFON5,7.915929,-72.515259,1100,150,199,1
2025-01-18 15:28:39+00:00,TIFON5,7.911438,-72.516838,1275,156,199,1
2025-01-18 15:28:45+00:00,TIFON5,7.801150244281143,-72.74371993698124,1450,158,200,0
2025-01-18 15:28:48+00:00,TIFON5,7.90535,-72.519119,1525,158,201,1
2025-01-18 15:28:50+00:00,TIFON5,7.90361,-72.519867,1625,157,203,1
2025-01-18 15:28:52+00:00,TIFON5,7.902237,-72.52047,1700,159,203,1
2025-01-18 15:28:54+00:00,TIFON5,7.900864,-72.52108,1725,161,203,1
2025-01-18 15:28:56+00:00,TIFON5,8.166938329897556,-72.5349782453813,1800,163,203,0
2025-01-18 15:29:03+00:00,TIFON5,7.894422,-72.523689,1900,172,201,1
2025-01-18 15:29:08+00:00,TIFON5,7.891342,-72.524986,2000,177,205,1
2025-01-18 15:29:10+00:00,TIFON5,7.954057269184056,-72.09508392108553,2075,180,209,0
2025-01-18 15:29:12+00:00,TIFON5,7.887252,-72.527573,2125,185,218,1
